ledger_id,company,description,amount,date,reference
L001,Vortex Holdings,Service fee,173.8,2026-06-09,REF-B001
L002,BlueStar Inc,Consulting retainer,740.71,2026-06-04,REF-B002
L003,Vortex Holdings,Legal fees,4466.29,2026-06-03,REF-B003
L004,Summit Analytics,License renewal,207.32,2026-06-03,REF-B004
L005,BlueStar Inc,Consulting retainer,2551.51,2026-06-01,REF-B005
L006,Coastal Partners,Consulting retainer,3594.3,2026-06-23,REF-B006
L007,Coastal Partners,License renewal,1141.18,2026-06-19,REF-B007
L008,Quantum Dynamics,Audit services,4353.04,2026-06-25,REF-B008
L009,Silverline Media,Software subscription,3505.79,2026-06-11,REF-B009
L010,Quantum Dynamics,Software subscription,1115.8,2026-06-25,REF-B010
L011,PeakFlow Solutions,Service fee,509.09,2026-06-04,REF-B011
L012,PeakFlow Solutions,Insurance premium,1752.58,2026-06-09,REF-B012
L013,Silverline Media,Invoice payment,3662.17,2026-06-18,REF-B013
L014,GlobalTech Ltd,Utility payment,1923.75,2026-06-18,REF-B014
L015,Quantum Dynamics,Insurance premium,3161.77,2026-06-29,REF-B015
L016,Prism Consultants,Maintenance contract,2907.89,2026-06-23,REF-B016
L017,GlobalTech Ltd,Invoice payment,3323.25,2026-06-25,REF-B017
L018,Quantum Dynamics,Service fee,4283.82,2026-06-28,REF-B018
L019,GlobalTech Ltd,License renewal,1425.97,2026-06-21,REF-B019
L020,Prism Consultants,Maintenance contract,855.14,2026-06-12,REF-B020
L021,BlueStar Inc,Marketing services,1371.54,2026-06-30,REF-B021
L022,Vortex Holdings,Marketing services,403.44,2026-06-21,REF-B022
L023,Sunrise Ventures,Contractor payment,3659.18,2026-06-06,REF-B023
L024,NexGen Systems,License renewal,1386.24,2026-06-30,REF-B024
L025,Vortex Holdings,Legal fees,2806.9,2026-06-22,REF-B025
L026,PeakFlow Solutions,Insurance premium,3853.15,2026-06-02,REF-B026
L027,BlueStar Inc,Insurance premium,208.9,2026-06-11,REF-B027
L028,Meridian Trading,Hardware purchase,377.63,2026-06-30,REF-B028
L029,Summit Analytics,Utility payment,3603.68,2026-06-07,REF-B029
L030,Vortex Holdings,Vendor payment,2008.38,2026-06-30,REF-B030
L031,Vortex Holdings,Vendor payment,757.21,2026-06-05,REF-B031
